Feature,Importance
id,0.2623763896926703
hemo,0.20734188072642593
pcv,0.11676147658983817
sc,0.09078567704213517
sg,0.06747109764422313
rc,0.05903793140480979
al,0.058919177386633305
rbc,0.04427686895559118
htn,0.02871028677242227
dm,0.015015172279719281
sod,0.008884924437264637
bu,0.008420910632290196
bgr,0.006404403220402791
su,0.006153206592844619
bp,0.003949321908779735
age,0.00379064787280152
pc,0.0037570329873999634
wc,0.002060414347480438
pe,0.0018228439698583121
pot,0.0016158499374540705
appet,0.0011213707476508865
ba,0.0007759126347672592
pcc,0.0003272696136505061
ane,0.00021993260288664747
cad,0.0
